text,airline,prediction
@abbeyshortpants @AirCanada @ChrisStapleton I hope so for you too abbey.  The show in Winnipeg was amazing,AirCanada,positive
@AirCanada @AirCanadaRouge @yvrairport flying YVR to PVR with a 2.5y/o. Is the CARES Harness permitted for use on t‚Ä¶ https://t.co/lXczJZm1M9,AirCanada,negative
"@AirCanada just wanted to share that crew chief, Anna, and the entire team on AC891 did a great job today! Cappucci‚Ä¶ https://t.co/bKUFN5wTFd",AirCanada,positive
Hey @AirCanada please don't delay AC223 to #vancouver anymore. I'm going to see @ChrisStapleton tonight and I really don't want to miss it.,AirCanada,negative
"@AirCanada Your agents provided no information, no options, no help. Now stuck in wrong city with only hope that another flight will work.",AirCanada,negative
"@AirCanada I cant do my check-in online, can you assist me?",AirCanada,negative
"RT @rockylo4: Wonderful evening last night @ACCECanada Awards Gala 2017. @AirCanada proud to be the sponsor of the ""Best International Busi‚Ä¶",AirCanada,negative
@AirCanada Fabi was headed to Toronto to speak at our conference - this is incredibly disappointing. https://t.co/RHclnsgAlg,AirCanada,negative
RT @SheShredsMag: Tryna figure out why @AirCanada didn't give me a boarding pass but gave dude behind me 1 then told me gate closed despite‚Ä¶,AirCanada,negative
Tryna figure out why @AirCanada didn't give me a boarding pass but gave dude behind me 1 then told me gate closed despite waiting 1.5 hrs Ì†æÌ¥î,AirCanada,negative
RT @mustbejp: What a fabulous welcome with @AirCanada #rude https://t.co/rrdV09wgF1,AirCanada,positive
"Appears @AirCanada hiked their Canada fares for summer today. When they go on ""sale,"" they'll, what, go back to where they were yesterday?",AirCanada,negative
RT @bashmcmac: Recvd no help from @AirCanada after 8yo leaves hearing aid on plane. 1 mth w/o response Not good enough #HearingLoss #Disabi‚Ä¶,AirCanada,negative
Thanks @AirCanada for the upgrade - nice way to end a long day!,AirCanada,positive
I wore leggings on my @AirCanada flight yesterday - just saying.,AirCanada,negative
"RT @TheBlade27: https://t.co/DP5NtJmK7k
 Based on the legroom on @AirCanada you'd B lucky 2 wedge  legs in let alone whatever 'leggings' U‚Ä¶",AirCanada,negative
"Funny ! There's  many outstanding @united employees, but the @united culture is tainted. I've seen it. Choose‚Ä¶ https://t.co/tG6PbLrAHw",AirCanada,negative
@AirCanada hello?,AirCanada,neutral
".@AirCanada But hey, the voucher @AirCanada offered after me speaking to two managers and telling my story 5 times‚Ä¶ https://t.co/EXRc4MOyNW",AirCanada,negative
"RT @yulplanespotter: @AirCanada #AC17 from earlier today that had an emergency landing
(@flightradar24 @NikPhillips666)

https://t.co/GTVA8‚Ä¶",AirCanada,negative
No eReader on a flight? Another reason to completely avoid airline travel. https://t.co/vgQzMr457q @AirCanada @WestJet @united @AmericanAir,AirCanada,negative
RT @AirCanada: We're hosting on Apr6 the Wanderluxe gala w/ @SickKids for the benefit of the Herbie Fund &amp; the #AirCanadaFoundation¬†https:/‚Ä¶,AirCanada,negative
".@AirCanada Just for the record @AirCanada, telling me one thing and then saying that it's not your fault your staf‚Ä¶ https://t.co/Yeh6oidtnP",AirCanada,negative
"[Sys delay @ YYZ]
Me: Will they hold?
@AirCanada: Yes, gate informed, they'll hold
Me: Great, thanks!
Me @ Gate: Ì†ΩÌª´ Ì†ΩÌ±ãÌ†ºÌøΩÌ†ΩÌ∏ï
AC: Our bad. Seeya!",AirCanada,negative
@AirCanada Thank you. I will send it ASAP.,AirCanada,positive
So @aircanada has stopped offering reasonable one-way fares to the U.K. Interesting. Great way to drive me to other‚Ä¶ https://t.co/9iysCAhlqu,AirCanada,negative
Honeymoon flight is booked! Flying @AirCanada from Montreal into Paris,AirCanada,negative
@AirCanada We've already gone through this,AirCanada,negative
@AirCanada fax: 813-286-7507. is this still necessary even though I received the updated itinerary with her new name?,AirCanada,negative
@AirCanada Just became a huge @WestJet fan. #awfulservice,AirCanada,positive
@AirCanada Yes the second rep I spoke with changed the name but said I still need to send a copy of the passport in,AirCanada,negative
The latest Magical Events Travel Daily News! https://t.co/tZYpJHKDYZ Thanks to @UKAndyHarmer @AirCanada #travel #cruise,AirCanada,negative
@AirCanada called again &amp; spoke w/someone who processed a name change for my wife-married after booking. Do I need to send copy of passport?,AirCanada,negative
For ppl flying to @VancouverComics here's the @AirCanada page on checked bag policies incl size/weight and price https://t.co/FcvUZXIabI,AirCanada,negative
"RT @collectingly: Well, we got very screwed by @AirCanada :: They would not help us in #Denver or even answer the phone :: We had to buy ti‚Ä¶",AirCanada,negative
"RT @collectingly: My #AirCanada @AirCanada experience was so bad &amp; costly, that I will continue to share mine &amp; anyone's complaints on twit‚Ä¶",AirCanada,negative
RT @martinpiel: @AirCanada great job on the forward thinking for the potential storm at YYT and allowing passengers to rebook @SJMHA @CapsA‚Ä¶,AirCanada,negative
"My #AirCanada @AirCanada experience was so bad &amp; costly, that I will continue to share mine &amp; anyone's complaints on twitter forever!! #rt",AirCanada,negative
CAPITAL FUN - 150 things to do in Ottawa for Canada‚Äôs 150th birthday. #Canada150  via @AirCanada https://t.co/il9N0dpMlc,AirCanada,negative
"Well, we got very screwed by @AirCanada :: They would not help us in #Denver or even answer the phone :: We had to buy tickets for $2k #rt",AirCanada,negative
I rarely complain but the service at the gate today at AC007 at #YVR @AirCanada was just awful. I expect better &amp; staff are usually great,AirCanada,negative
RT @vsmith1660: .@AirCanada Proud of my colleagues and crew at EZE/ SCL stations for the arrival ceremony of our B787 Dreamliner @DuncanBur‚Ä¶,AirCanada,negative
@CalgaryChamber @ImperialOil @WestJet @TransCanada @AirCanada @NOVAChemicals @encana @OilGasCanada Thanks2Chamber https://t.co/dqeLX1ht6S,AirCanada,neutral
RT @JackNigro: High in the sky with #FlatStanley on @AirCanada. Looks cold out there Grade 1s @SJPIIOakville @tigerfrancesca! @HCDSB http:/‚Ä¶,AirCanada,negative
RT @JackNigro: Hey @tigerfrancesca Grade 1 class  @SJPIIOakville @HCDSB! Flat Stanley is about to board an @AirCanada flight to SSM! http:/‚Ä¶,AirCanada,negative
The @AirCanada team operating the #boeing787 to Santiago Chile this week - fantastic aircraft for the crew and all‚Ä¶ https://t.co/1EEnimpjzo,AirCanada,negative
@AirCanada what if someone lost an earring on one of your flights today? Help!,AirCanada,negative
@AirCanada @m_macstone doesn't feel assured...it's been a month... https://t.co/DVfZSMl5nT,AirCanada,negative
RT @airplane_photo: 787 from @AirCanada https://t.co/0wxc9spBnm,AirCanada,neutral
RT @GreenHair14: @julytalk @itsthedarcys @Arkells @arkellsmusic @AirCanada making plans for this summer? The Darcy's better be opening for‚Ä¶,AirCanada,negative
".@aircanada just sent me a 4-page PDF ""flight itinerary change"" warning ‚Äî the only change was my flight is arriving ONE MINUTE LATER. Plz.",AirCanada,negative
"@AmericanAir I'm thankful for the quick fix, but not exactly a fun travel day. @AirCanada",AirCanada,negative
"@AmericanAir Your plane broke twice, we sat on the tarmac for an hour, I'm getting to my destination 5 hrs late and now flying @AirCanada",AirCanada,negative
@AirCanada perfect. I'll pass that along. Thank you :) ‚úàÔ∏è,AirCanada,negative
Recvd no help from @AirCanada after 8yo leaves hearing aid on plane. 1 mth w/o response Not good enough #HearingLoss #Disability @m_macstone,AirCanada,negative
"Special thanks to @ImperialOil, @WestJet, @TransCanada, @AirCanada, @NOVAChemicals, RGO, @encana &amp; @OilGasCanada for your support today.",AirCanada,negative
@julytalk @itsthedarcys @Arkells @arkellsmusic @AirCanada making plans for this summer? The Darcy's better be opening for ya's ;),AirCanada,negative
Thank you @AirCanada - your service continues to make me happy to be a loyal @Aeroplan member #AirCanada #Areoplan  #loyalty,AirCanada,negative
"@AirCanada of NO assistance, tells us to start another online chat. Already contacted Cust Srvc, staff online &amp; in person. Call ur customer!",AirCanada,negative
@AirCanada thank you!!,AirCanada,positive
Canceled https://t.co/7FCcOTpqaC  #AirlineComplaints @AirCanada,AirCanada,neutral
@AirCanada Ive been sitting on the phone w/your reservations team for 10 mins while the rep talks to someone else - not speaking to me,AirCanada,negative
"https://t.co/DP5NtJmK7k
 Based on the legroom on @AirCanada you'd B lucky 2 wedge  legs in let alone whatever 'leggings' U might B wearing!",AirCanada,negative
"@AirCanada tks for always welcoming me &amp; my #leggings can't wait for my upcoming #vegas travel nxt week!!
#comfytraveller #happytraveller",AirCanada,negative
RT @spectacularNWT: Looking for more #NWTSecrets? Here's a big one -- we're giving away 150 trips to #SpectacularNWT w/ @AirCanada! https:/‚Ä¶,AirCanada,negative
"Welcome #icom17 #SummitSpeaker, Chantal Berthiaume @AirCanada - https://t.co/nCS8A2vxBg",AirCanada,positive
@AirCanada here's the advisory from @ECAlertNL24 https://t.co/7C0gKjZDXu,AirCanada,neutral
"@AirCanada friend traveling Friday, major storm in the forecast and no advisory on your site, advice? She is going to a concert in MTL. tks",AirCanada,negative
@racheltepper @AirCanada Also I am sorry for your loss,AirCanada,negative
@racheltepper @AirCanada I don't know why they bother,AirCanada,negative
@AirCanada our bag has been missing for 9 days now and I can't get a straight answer from anyone. Please help!!,AirCanada,negative
"RT @josh_edu: Glad 2b back @aeroportsMTL @AirCanada #AC17 YUL-PVG engine fail on takeoff. Engine shutdown, fuel dump: professional response‚Ä¶",AirCanada,negative
Any of y'all heard shade bout @AirCanada? Nah? How bout @WestJet? Nah? Then we all g over in Canada :),AirCanada,negative
@AirCanada #8910 Punctuality is what we trive to avoid,AirCanada,neutral
Our Apr 6 #networking #event with @leeromsegal features a draw for 2 tix to the Caribbean courtesy of @AirCanada!‚Ä¶ https://t.co/ZdxVcFitii,AirCanada,negative
@AirCanada I flew business class YYZ-YHZ Sunday at noon.  Your flight service director Var treated me to rockstar level service!  Thanks!,AirCanada,negative
"33 days, still no response from @AirCanada so another bad review posted to @ConsumerAffairs this time. #aircanadasucks #badservice",AirCanada,negative
"RT @AirCanada: Travel Alert ‚Äì March 27: YYT, YQB, YTS, BOS, NYC, PHL, SFO, DCA &amp; IAD. Details &amp; rebook online. Change fees waived: https://‚Ä¶",AirCanada,negative
@julytalk @itsthedarcys @Arkells @arkellsmusic @AirCanada are they opening at Budweiser stage????,AirCanada,neutral
"@AirCanada hi, can you fly within Canada without a passport?",AirCanada,negative
There is still a long road ahead #dundaspeak #rail #tracks #Canada150 @aircanada https://t.co/unHKblymHQ,AirCanada,negative
@AirCanada What's the compensation rate for delays that are the result of the airline's scheduling?,AirCanada,negative
@Lauras_CC @AirCanada make mine a Malbec please!,AirCanada,negative
@AirCanada Thanks for reaching out. I'll send a direct message.,AirCanada,negative
RT @racheltepper: True story: @AirCanada's bereavement fare is greater than the price of a regular ticket on Expedia. Does that sound right‚Ä¶,AirCanada,negative
@AirCanada any reason why your app hasn't updated my delay yet?,AirCanada,negative
"@LauriLeduc @AirCanada @ExpediaCA 
Expedia quick to take your money but tell you to go f' urself when you need them. Same problem. Disgusted",AirCanada,negative
@NoLore @AirCanada indeed.  AC has been giving me the heebie jeebies too.,AirCanada,positive
@AirCanada ok thank you,AirCanada,positive
"SUMMER: Boston to Copenhagen, Denmark for only $322 roundtrip with @AirCanada &amp; @FlySWISS

https://t.co/zokyy0yhtU https://t.co/cVdH7dLEDb",AirCanada,neutral
"@AirCanada nope we have an at least 1 hr delay. Aircraft is here, not sure what the delayed is the result of.",AirCanada,negative
@MissTanya Sorry to hear that. I honestly question why @AirCanada offers bereavement fares at all‚Äîthey're utterly useless. It's insulting.,AirCanada,negative
".@AirCanada wouldn't let me check into my flight less than an hour beforehand, causing me to miss it. They were acting fishy, so I pressed.",AirCanada,negative
@AirCanada no worries. Any idea of the issue has been resolved?,AirCanada,negative
".@AirCanada Your bereavement policy explicitly tells ppl to ""Call Air Canada Reservations."" A lower fare was not offered. Very disappointed.",AirCanada,negative
"@AirCanada Departing ""
(Costa Rica)SJO Wednesday..Is the departure tax included in my AC ticket taxes?  Thanks!",AirCanada,negative
"@AirCanada so I guess if air Canada chooses to cancel your flight, you can't to anything about it. Really unprofessional.",AirCanada,negative
These are different aircraft. No weather issues. Just ---- cause ---- @AirCanada,AirCanada,negative
@AirCanada @AirCanadaRouge little girl w/o hearing aid for trip to FL. Still no response from AC. Poor service &amp; awful to do that to a child,AirCanada,negative
"My mom in YQB flying to YYZ: ""we're delayed. You?""
Me (YYZ flying to YQB): ""nope! *checks* I mean yes. Also delayed."" 
@AirCanada wtf.",AirCanada,negative
"@AirCanada Yes, I meet bereavement requirements. The ticketing office offered me a fare of $330‚Äî$30 more than the same ticket on Expedia",AirCanada,negative
@AirCanadaRouge wouldn't call @AirCanada to look for 8yo girl's hearing aid left on connecting flgt bc not same Co. 1/2,AirCanada,negative
"@AirCanada Dear Air Canada, any idea what caused AC 8535 to return to the gate just now?",AirCanada,negative
@racheltepper @AirCanada terrible.. evil,AirCanada,negative
True story: @AirCanada's bereavement fare is greater than the price of a regular ticket on Expedia. Does that sound right to you?,AirCanada,negative
Come on @AirCanada. &amp; @WestJet  ...get in on this https://t.co/RV49MP5FDo,AirCanada,neutral
@StephenLap @AirCanada looks like the bags from the 4 missing containers are finally starting to arrive. Cheers at the carousel. 110 mins,AirCanada,negative
@AirCanada never misses an opportunity to disappoint. No explanation. No apology for 84min flight delayed over 90min #majorfail,AirCanada,negative
@AirCanada are we allowed to wear leggings on flights? Ì†æÌ¥î,AirCanada,negative
@AirCanada thank you for taking the time to ask my opinion today on AC111. I felt like your team was genuinely listening to me.,AirCanada,negative
@AirCanada what's the problem with luggage from AC869 @YYZ? Been more than 90 min. Hang in @StephLapinsky as your 26hr trip becomes 27hr,AirCanada,negative
Exceptionally GREAT travel experience Mar 23 @Westjet flights 700 &amp; 3472. HORRIBLE return experience: Mar 26 @aircanada flight AC189.,AirCanada,negative
"@AirCanada Bad travel experience from Ottawa. Great experience to Ottawa w/ @westjet: pleasant, on time, free adult beverages TO to OTT",AirCanada,negative
@AirCanada  To /aa: Love your pleasant social media demeanor!!! Please share your secret with the male gate agent that checked us in!!!,AirCanada,negative
"@tomcat335 @united I had to wear wool suits to fly to Barbados as a kid on @AirCanada - them were the rules. 
#SoHotWhenDoorsWouldOpen Ì†ºÌºû",AirCanada,negative
@AirCanada First 25min delay to allow 20+ people from Montreal to make our flight/their connection. Would love same consideration in future,AirCanada,negative
@AirCanada flying on you for the first time today! Excited!!,AirCanada,negative
#HeartfeltThx @AirCanada Foundation for including our Golf Classic in your Closet To The Pin Contest. https://t.co/FeK7R0PwQZ #EnvirosGolf,AirCanada,negative
"@porterairlines let me down yesterday, cancelled flight and stranded in Montreal.  Thx @AirCanada for getting me home.",AirCanada,negative
@lamoroma @mustbejp @AirCanada if you are paying a lot you should expect excellent customer service.  I work in retail so I see his point.,AirCanada,negative
"@AirCanada messing up bigly today: 20min delay into Pearson translates to 1hr17min delayed arrival 4 me. Poor service recovery, not @DCA yet",AirCanada,negative
I love this! and when you fly @AirCanada they provide you with complimentary leggings. #united https://t.co/Dq5l2baiF6,AirCanada,negative
@AirCanada Disappointing to see continued problems from YYC to SFO. Missing connections and losing a day for $10. Ì†ΩÌ≤©,AirCanada,negative
@ArleneDickinson @united @AirCanada Almost spewed my coffee. Thanks for my Monday laugh.,AirCanada,negative
@AirCanada thanks,AirCanada,positive
"@AirCanada hi, our child will have 2 years during our trip, what's the price in this situation ?",AirCanada,negative
(1/2) RE: @united dress code: it's not for paying customers. I've had to adhere to this dress code every time I fly @AirCanada too.,AirCanada,negative
RT @KristenFBrown: Did you hear #aircanada new non-stop service from #Vancouver to #Boston begins June 23 @AirCanada https://t.co/BBfaU5PelL,AirCanada,negative
@AirCanada hello. You've lost my bag which was supposed to arrive with me on flight 1752 from Toronto to Cuba. Can you tell me where it is?,AirCanada,negative
RT @AirCanada: Spotted: An #A321 in our new livery on approach to @TorontoPearson. Thanks to plane-spotter John Chung for this great snap!‚Ä¶,AirCanada,negative
"Wow, almost 48hrs and still no luggage. They found my bag in Calgary &amp; now appear to have no idea where it is...again. @AirCanada",AirCanada,negative
@AirCanada never been treated so Badly for simply asking a question. Arnt your employees trained properly to not call names and belittle ?,AirCanada,negative
@AirCanada just curious why your employees think it's okay to call someone manipulative and then refuse to serve them at the ticket counter,AirCanada,negative
@AirCanada have a fundraising/credit request for a school trip. Who do I contact? #windycity,AirCanada,negative
@kzoes99 @AirCanada @WestJet You are so cool!,AirCanada,positive
@AirCanada I was supposed to leave at 11:30 https://t.co/DdrYeAHJqE,AirCanada,negative
"@AirCanada, your info about ovrbkd flights it states rare, very rare, but it's happened to us twice within a years timespan. #dontoversell",AirCanada,negative
HUGE kudos to Ang√©lique &amp; her mgr @AirCanada in #YOW for helping get my mom home after an unanticipated itinerary change #serviceplusplus,AirCanada,negative
"Don't understand why 20 minute delay on inbound @AirCanada flight BOSYYZ leads to 1h20 min delay to DCA, then back. Lunch break? #badservice",AirCanada,negative
@AirCanada you have forever disappointed me changing a 11:30 flight because of mechanical issues at your hub? What's that a about,AirCanada,negative
.@AirCanada proud supporter of #Wanderluxe.Proceeds support the Herbie Fund at @sickkids &amp; #AirCanadaFoundation. https://t.co/Hysbny2EIK,AirCanada,negative
"How the hell, this day in the age of technology, does an airline (@AirCanada) overvsell a flight. 20 seats is 20 seats not 22. FFS",AirCanada,negative
Hey @AirCanada - not very impressed with no sky check in YQM to YUL anymore on these piece of crap Q400s. Time 2 look @ @WestJet now #E75K,AirCanada,negative
"Fantastic flight from Brisbane to Vancouver today....thanks, @AirCanada!",AirCanada,neutral
RT @TomPodolec: VIDEO of @AirCanada #AC17 dumping fuel after right engine shut down. Flight to Shanghai returned to #Montreal shortly after‚Ä¶,AirCanada,negative
Why am I not surprised that @aircanada has totally mismanaged a cluster at the airport.,AirCanada,negative
"@AirCanada delayed out of #YYT, but had help from an amazing check-in agent! Ì†æÌ¥ûhoping to make that new connection.",AirCanada,negative
What a rainy normal day looks like @yvrairport  and @ACAltitude  @AirCanada  looks like busy as usualÌ†ΩÌ±ç https://t.co/qqtf0bXhuf,AirCanada,negative
Looks like @AirCanada 142 is the #ias17 party flight back to the #bEastCoast. Flex track in the sky?,AirCanada,negative
@WestJet @SEDMHA starts Thursday so kids need to make before the storm. Fundraiser all year for this. @AirCanada allowing changes for free.,AirCanada,negative
@AirCanada and the staff I was able to find were so rude. Ridiculous.,AirCanada,negative
"@AirCanada your staff were USELESS in giving instructions on where to go, how to rebook and deal. Was completely left to my own devices.",AirCanada,negative
@AirCanada my flight to Vancouver last night was delayed by nearly six hours which meant I missed my connection to Australia.,AirCanada,negative
"RT @rockylo4: Great performance @SakuramaiTO Dance Group last night @AirCanada / JNTO ""Explore #Japan Night"" . #YVR - #Nagoya new route beg‚Ä¶",AirCanada,negative
@WestJet how come @AirCanada is allowing free flight changes for the Wed/their storm at yyt but you want $600 in fees to travel to yhz?,AirCanada,negative
RT @pfc_rat: 32 days and still nothing from @AirCanada complaint filed with @AirComplaints and will file 1/day until resolved. #customerser‚Ä¶,AirCanada,negative
RT @rockylo4: Come visit @AirCanada #Asia Sales team @Shaw_Centre #Ottawa for the Ottawa Travel &amp; Vacation Show today to learn about our se‚Ä¶,AirCanada,negative
Look what I found on our @aircanada flight from Frankfurt! @enroutemag feature on me for‚Ä¶ https://t.co/cLtBusVgVd,AirCanada,negative
"@ArleneDickinson @united @AirCanada You go, girl.  Besides, ""United breaks guitars"" (check it out on YouTube).",AirCanada,negative
.@FredHeadon provides a unique perspective as @aircanada counsel. Listen to learn what role they can play:‚Ä¶ https://t.co/0LpU9m4AF6,AirCanada,negative
"@AirCanada can't check in online as it's asking for a permenant resident card number, I only have a work visa. Can I still fly??",AirCanada,negative
